github.com/AlDanial/cloc v 1.98  T=3.55 s (285.0 files/s, 88468.0 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                          blank        comment           code
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/hook/hook.go                                                                                    45             70            216
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/stream/from_stream.go                                                                              48              1            215
/Users/matthewdavis/workspace/nvr.ai/pkg/go-streamer/streamer/streamer.go                                                                        25              2            213
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_collect_pads.go                                                        60            169            212
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/video/gst_video_info.go                                                         59            120            212
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/session_update.go                                                                               30             27            211
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_clock.go                                                                    58            130            210
/Users/matthewdavis/workspace/nvr.ai/pkg/net/connection.go                                                                                       11             63            206
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_bin.go                                                                      52            130            204
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_toc.go                                                                      47             45            204
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/runtime/runtime.go                                                                               6            111            202
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/cgo_exports.go                                                                  39             34            202
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/location.go                                                                                     23             42            198
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/multiaddr.go                                                                       35             22            197
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/webrtc/connections.go                                                                            26             65            197
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/registration/where.go                                                                           66             64            195
/Users/matthewdavis/workspace/nvr.ai/pkg/kubernetes-controller/streamer.go                                                                       20             30            195
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_sink_exports.go                                                   21             21            195
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasegment/where.go                                                                          60             58            191
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasetting.go                                                                                14             35            190
/Users/matthewdavis/workspace/nvr.ai/pkg/go-streamer/bin/.lib/getoptions/lib/getoptions_base.sh                                                   9              2            189
/Users/matthewdavis/workspace/nvr.ai/pkg/types/common.go                                                                                         39              2            187
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/invitation/invitation.go                                                                        28             70            184
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/minio/miniosink.go                                                 41              0            184
/Users/matthewdavis/workspace/nvr.ai/pkg/kubernetes-controller/webrtc.go                                                                         13              0            183
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/tmp/webrtc-cli/src/dsp/jitter_buffer.go                                                          53              0            180
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/formatprocessor/h264_test.go                                                                       30              1            177
/Users/matthewdavis/workspace/nvr.ai/pkg/net/connection_test.go                                                                                  34             38            177
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-ffmpeg/main.go                                                                                 28              0            173
/Users/matthewdavis/workspace/nvr.ai/pkg/go-gstreamer/pipelines/pipeline.go                                                                      68            289            172
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/formatprocessor/h265_test.go                                                                       32              1            171
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/gofilesink/filesink.go                                             34             80            171
/Users/matthewdavis/workspace/nvr.ai/pkg/api/cmd/seed/db/db.go                                                                                   25             15            170
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/minio/miniosrc.go                                                  41              0            170
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/session/where.go                                                                                51             49            164
/Users/matthewdavis/workspace/nvr.ai/pkg/gateway/server/peer.go                                                                                  33             51            164
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/minio/seek_writer.go                                               20              6            164
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/tenant/tenant.go                                                                                24             63            163
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/gif-encoder/main.go                                                        44             55            163
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent.resolvers.go                                                                                    37             18            161
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/filter_test.go                                                                     26             15            161
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/user/user.go                                                                                    25             57            157
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerabookmark.go                                                                               14             32            156
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/audio/gst_audio_format.go                                                       33             36            156
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/video/gst_navigation.go                                                         42             80            156
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_buffer_pool.go                                                              29             76            155
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/cmd/gst-plugin-gen/main.go                                                          19             12            152
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_transform_impl.go                                                 35            110            152
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/component.go                                                                       26              7            150
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/rabbitmq/setup.go                                                                                26              6            150
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/tmp/webrtc-cli/docs/index.html                                                                   33              0            150
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/kcp-go/snmp.go                                                                                   9              6            149
/Users/matthewdavis/workspace/nvr.ai/pkg/rest/billing/recurly/subscriptions.go                                                                   38              0            149
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/minio/common.go                                                    18              0            149
/Users/matthewdavis/workspace/nvr.ai/pkg/gateway/server/server.go                                                                                30             35            147
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_element_exports.go                                                          19             19            147
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/rolepermission.go                                                                               14             31            146
/Users/matthewdavis/workspace/nvr.ai/pkg/proxy/main.go                                                                                           29              0            146
/Users/matthewdavis/workspace/nvr.ai/pkg/desktop/frontend/wailsjs/runtime/runtime.js                                                             48              9            145
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/tmp/webrtc-cli/src/rtc/depacketizer.go                                                           45             11            145
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/role/role.go                                                                                    23             54            144
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/codec.go                                                                           33              4            144
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/minio/properties.go                                                 6              3            144
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_sink.go                                                           42            138            144
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/util.go                                                                            15             21            143
/Users/matthewdavis/workspace/nvr.ai/pkg/rabbitmq/producer/producer.go                                                                           21             14            143
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_child_proxy.go                                                              28             49            143
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_event_constructors.go                                                       28            191            143
/Users/matthewdavis/workspace/nvr.ai/pkg/gateway/examples/basic_setup.go                                                                         27             16            142
/Users/matthewdavis/workspace/nvr.ai/pkg/discovery/isapi/client.go                                                                               26             31            141
/Users/matthewdavis/workspace/nvr.ai/pkg/broker/hub/client.go                                                                                    25             48            140
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_plugin.go                                                                   29             74            140
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_structure.go                                                                29             30            140
